DAUID,db_pop_total,db_pop_valid,n_unique_parks,area_raw,area_cap20,area_cap10,qty_raw,qty_cap20,qty_cap10
59150585,544,544,3,7.18,7.18,7.18,13.2037,13.2037,13.2037
59150586,554,554,3,7.18,7.18,7.18,12.9653,12.9653,12.9653
59150587,570,570,1,6.0,6.0,6.0,10.5235,10.5235,10.5235
59150588,581,581,2,10.24,10.24,10.24,17.6287,17.6287,17.6287
59150589,493,493,1,4.24,4.24,4.24,8.6082,8.6082,8.6082
59150590,552,552,1,4.24,4.24,4.24,7.6881,7.6881,7.6881
59150591,642,642,1,4.24,4.24,4.24,6.6103,6.6103,6.6103
59150592,632,632,1,4.24,4.24,4.24,6.7149,6.7149,6.7149
59150593,589,589,0,0.0,0.0,0.0,0.0,0.0,0.0
59150594,426,426,1,1.71,1.71,1.71,4.0234,4.0234,4.0234
59150595,672,672,1,1.61,1.61,1.61,2.4019,2.4019,2.4019
59150596,489,489,1,1.71,1.71,1.71,3.505,3.505,3.505
59150597,711,711,2,3.33,3.33,3.33,4.6808,4.6808,4.6808
59150598,557,557,1,1.71,1.71,1.71,3.0771,3.0771,3.0771
59150599,597,597,1,1.71,1.71,1.71,2.8709,2.8709,2.8709
59150600,475,475,3,51.18,22.95,12.95,107.7572,48.3143,27.2617
59150601,768,768,3,3.08,3.08,3.08,4.0043,4.0043,4.0043
59150602,427,427,3,3.08,3.08,3.08,7.2021,7.2021,7.2021
59150603,403,403,4,3.29,3.29,3.29,8.1613,8.1613,8.1613
59150604,621,621,3,2.05,2.05,2.05,3.307,3.307,3.307
59150605,486,486,1,1.71,1.71,1.71,3.5267,3.5267,3.5267
59150606,701,701,2,3.12,3.12,3.12,4.4469,4.4469,4.4469
59150607,836,836,5,4.44,4.44,4.44,5.3087,5.3087,5.3087
59150608,566,566,4,2.74,2.74,2.74,4.84,4.84,4.84
59150609,532,532,1,1.4,1.4,1.4,2.6378,2.6378,2.6378
59150610,678,678,1,1.4,1.4,1.4,2.0698,2.0698,2.0698
59150611,689,689,1,6.0,6.0,6.0,8.706,8.706,8.706
59150612,646,646,0,0.0,0.0,0.0,0.0,0.0,0.0
59150613,747,747,1,6.0,6.0,6.0,8.03,8.03,8.03
59150614,662,662,0,0.0,0.0,0.0,0.0,0.0,0.0
59150615,499,499,2,6.33,6.33,6.33,12.6889,12.6889,12.6889
59150616,588,588,1,0.33,0.33,0.33,0.5669,0.5669,0.5669
59150617,544,544,4,7.52,7.52,7.52,13.8164,13.8164,13.8164
59150618,650,650,3,1.52,1.52,1.52,2.3349,2.3349,2.3349
59150619,637,637,3,7.18,7.18,7.18,11.276,11.276,11.276
59150620,559,559,1,0.33,0.33,0.33,0.5963,0.5963,0.5963
59150621,463,463,1,0.33,0.33,0.33,0.7199,0.7199,0.7199
59150622,476,476,2,13.95,13.95,10.33,29.2973,29.2973,21.7087
59150623,494,494,1,0.33,0.33,0.33,0.6747,0.6747,0.6747
59150624,596,596,2,14.4,14.4,10.79,24.1692,24.1692,18.1085
59150625,608,608,2,14.4,14.4,10.79,23.6922,23.6922,17.7511
59150626,605,605,2,14.4,14.4,10.79,23.8097,23.8097,17.8391
59150627,524,524,3,35.75,34.4,20.79,68.2273,65.6581,39.6807
59150628,770,770,3,1.24,1.24,1.24,1.6072,1.6072,1.6072
59150629,605,605,2,1.13,1.13,1.13,1.8611,1.8611,1.8611
59150633,663,663,2,2.1,2.1,2.1,3.1698,3.1698,3.1698
59150634,540,540,1,1.97,1.97,1.97,3.6427,3.6427,3.6427
59150635,583,583,1,1.97,1.97,1.97,3.374,3.374,3.374
59150636,677,677,1,1.97,1.97,1.97,2.9056,2.9056,2.9056
59150637,578,578,1,1.97,1.97,1.97,3.4032,3.4032,3.4032
59150638,660,660,2,3.42,3.42,3.42,5.1791,5.1791,5.1791
59150639,517,517,1,1.97,1.97,1.97,3.8048,3.8048,3.8048
59150640,436,436,1,1.97,1.97,1.97,4.5116,4.5116,4.5116
59150641,642,642,0,0.0,0.0,0.0,0.0,0.0,0.0
59150642,610,610,0,0.0,0.0,0.0,0.0,0.0,0.0
59150643,601,601,0,0.0,0.0,0.0,0.0,0.0,0.0
59150644,598,598,0,0.0,0.0,0.0,0.0,0.0,0.0
59150645,454,454,1,1.45,1.45,1.45,3.1963,3.1963,3.1963
59150646,643,643,0,0.0,0.0,0.0,0.0,0.0,0.0
59150647,594,594,0,0.0,0.0,0.0,0.0,0.0,0.0
59150648,390,390,0,0.0,0.0,0.0,0.0,0.0,0.0
59150649,663,663,1,0.15,0.15,0.15,0.2324,0.2324,0.2324
59150650,459,459,1,0.98,0.98,0.98,2.1322,2.1322,2.1322
59150651,421,421,1,0.98,0.98,0.98,2.3246,2.3246,2.3246
59150652,698,698,1,0.98,0.98,0.98,1.4021,1.4021,1.4021
59150653,482,482,2,6.31,6.31,6.31,13.0998,13.0998,13.0998
59150654,592,592,2,6.31,6.31,6.31,10.6657,10.6657,10.6657
59150655,491,491,2,6.31,6.31,6.31,12.8597,12.8597,12.8597
59150656,494,494,0,0.0,0.0,0.0,0.0,0.0,0.0
59150657,511,511,1,1.45,1.45,1.45,2.8398,2.8398,2.8398
59150658,659,659,2,6.6,6.6,6.6,10.0081,10.0081,10.0081
59150659,619,619,2,2.79,2.79,2.79,4.5049,4.5049,4.5049
59150660,488,488,1,1.53,1.53,1.53,3.1324,3.1324,3.1324
59150661,489,489,2,23.89,21.53,11.53,48.8548,44.0258,23.5759
59150662,414,414,0,0.0,0.0,0.0,0.0,0.0,0.0
59150663,427,427,2,30.05,27.69,17.69,70.3835,64.8532,41.434
59150664,508,508,2,8.59,8.59,8.59,16.9125,16.9125,16.9125
59150665,456,456,1,7.69,7.69,7.69,16.8691,16.8691,16.8691
59150666,427,427,2,25.36,23.0,13.0,59.3879,53.8576,30.4384
59150667,436,436,2,26.39,24.03,14.03,60.5305,55.1144,32.1786
59150668,513,513,2,27.1,24.74,14.74,52.8287,48.2256,28.7324
59150669,340,340,3,31.13,28.77,18.77,91.5618,84.6165,55.2047
59150670,520,520,3,28.63,26.27,16.27,55.0572,50.516,31.2852
59150671,523,523,4,33.7,31.34,21.34,64.4292,59.9141,40.7937
59150672,857,857,1,53.28,20.0,10.0,62.1757,23.3372,11.6686
