park_id,source,park_name,area_ha,place_id,match_flag,notes,place_id_list,in_file06,in_neither
Vancouver_115,Vancouver,Ravine Park,0.9201103401666912,ChIJ8YDE_HZzhlQRHs20Hhi1pyk,exact,,['ChIJ8YDE_HZzhlQRHs20Hhi1pyk'],True,False
Vancouver_116,Vancouver,Memorial West Park,7.511579628139858,ChIJy6XHNhRzhlQRgMzwOxCqpZ0,exact,,['ChIJy6XHNhRzhlQRgMzwOxCqpZ0'],True,False
Vancouver_117,Vancouver,Quilchena Park,7.692325821772762,ChIJQR19tJ1zhlQRHjXiVUw7YjQ,exact,,['ChIJQR19tJ1zhlQRHjXiVUw7YjQ'],True,False
Vancouver_118,Vancouver,Prince Of Wales Park,2.8943266649729624,ChIJy5zamnVzhlQROs6bOMWf3m4,exact,,['ChIJy5zamnVzhlQROs6bOMWf3m4'],True,False
Vancouver_119,Vancouver,Park Site On Trafalgar Street,0.1364974351413605,ChIJ3StweQBzhlQROdIhlxaHYNU,manual,,['ChIJ3StweQBzhlQROdIhlxaHYNU'],False,True
Vancouver_120,Vancouver,Balaclava Park,4.898701529605987,ChIJXfWhew1zhlQRxF2EcUJj18U,exact,,['ChIJXfWhew1zhlQRxF2EcUJj18U'],True,False
Vancouver_121,Vancouver,Chaldecott Park,3.4570534339846892,ChIJ0f6r_RlzhlQRG3hs6hOQHDc,exact,,['ChIJ0f6r_RlzhlQRG3hs6hOQHDc'],True,False
Vancouver_122,Vancouver,Arbutus Village Park,1.4122582984871996,ChIJNa3NzqFzhlQRKYEj2VkGFK0,exact,,['ChIJNa3NzqFzhlQRKYEj2VkGFK0'],True,False
Vancouver_123,Vancouver,Trafalgar Park,4.864674354124592,ChIJFZtqm6BzhlQRViBt0mI2ZIU,exact,,['ChIJFZtqm6BzhlQRViBt0mI2ZIU'],True,False
Vancouver_124,Vancouver,Valdez Park,0.7689368807578044,ChIJ1XTxNQ9zhlQRC65vCiN3u-E,exact,,['ChIJ1XTxNQ9zhlQRC65vCiN3u-E'],True,False
Vancouver_125,Vancouver,Angus Park,0.899249048606294,ChIJOTyt_ZdzhlQRszXvVBYi0ws,exact,,['ChIJOTyt_ZdzhlQRszXvVBYi0ws'],True,False
Vancouver_126,Vancouver,Carnarvon Park,4.243831294285206,ChIJU_7O9QdzhlQRT1nFVPrl2yE,exact,,['ChIJU_7O9QdzhlQRT1nFVPrl2yE'],True,False
Vancouver_127,Vancouver,Quadra West Park,0.1421102535413312,ChIJeZSkvAZzhlQRQdKZJ08SxVU,exact,,['ChIJeZSkvAZzhlQRQdKZJ08SxVU'],True,False
MetroVancouver_128,MetroVancouver,Pacific Spirit Regional Park,511.01317130433546,ChIJEaF3zSVzhlQRoHELsXvwmDM,fuzzy,Could also include Wreck Beach: ChIJUzqZj0oNhlQRSzlBeYd5v-0,['ChIJEaF3zSVzhlQRoHELsXvwmDM'],False,True
Vancouver_129,Vancouver,Granville Park,1.967067406206696,ChIJcbmkHLxzhlQRkMlWXjPgShU,exact,,['ChIJcbmkHLxzhlQRkMlWXjPgShU'],True,False
Vancouver_130,Vancouver,Almond Park,1.614077026317408,ChIJzy68lgFzhlQR3bAMfmlJakQ,exact,,['ChIJzy68lgFzhlQR3bAMfmlJakQ'],True,False
Vancouver_131,Vancouver,Connaught Park,5.998422871135608,ChIJwwg2M65zhlQR4r-M83JybOI,exact,,['ChIJwwg2M65zhlQR4r-M83JybOI'],True,False
Vancouver_132,Vancouver,Arbutus Greenway Park,0.6892910731915232,ChIJF391QrBzhlQRw86A7fL1egg,exact,,['ChIJF391QrBzhlQRw86A7fL1egg'],True,False
Vancouver_133,Vancouver,Braemar Park,1.2599339038148545,ChIJr5Ykeo1zhlQRxTFCPQi4ndQ,exact,,['ChIJr5Ykeo1zhlQRxTFCPQi4ndQ'],True,False
Vancouver_134,Vancouver,Douglas Park,5.335434689248188,ChIJAUw1JNRzhlQRCnHVzI24sCs,exact,,['ChIJAUw1JNRzhlQRCnHVzI24sCs'],True,False
Vancouver_135,Vancouver,Heather Park,0.9786709555745248,ChIJmUG1iutzhlQRMbhW_oYYz6s,exact,,['ChIJmUG1iutzhlQRMbhW_oYYz6s'],True,False
Vancouver_136,Vancouver,Shaughnessy Park,1.4511219160960305,ChIJSbuugZVzhlQRTdS00C0zXyY,exact,,['ChIJSbuugZVzhlQRTdS00C0zXyY'],True,False
Vancouver_137,Vancouver,Lilian To,0.1416529125979901,ChIJ5RWQau9zhlQR7QbpfAPnPME,manual,,['ChIJ5RWQau9zhlQR7QbpfAPnPME'],True,False
Vancouver_138,Vancouver,Willow Park,0.0714570633575584,ChIJI6DcWsNzhlQRkRpRrXP9q0w,manual,,['ChIJI6DcWsNzhlQRkRpRrXP9q0w'],True,False
Vancouver_139,Vancouver,Choklit Park,0.0673899881874338,ChIJmYd6Q8RzhlQRnQcUS9mQFVo,manual,,['ChIJmYd6Q8RzhlQRnQcUS9mQFVo'],True,False
