DAUID,db_count,db_pop_total,db_pop_reach_400,db_pop_reach_800,DA_reach_400,DA_reach_800
59150727,5.0,477.0,477.0,477.0,1.0,1.0
59150728,3.0,502.0,502.0,502.0,1.0,1.0
59150729,6.0,701.0,455.0,701.0,0.6490727532097005,1.0
59150730,5.0,498.0,91.0,498.0,0.1827309236947791,1.0
59150731,5.0,627.0,188.0,627.0,0.29984051036682613,1.0
59150732,5.0,509.0,99.0,509.0,0.1944990176817289,1.0
59150733,7.0,554.0,554.0,554.0,1.0,1.0
59150734,5.0,782.0,0.0,782.0,0.0,1.0
59150737,5.0,480.0,399.0,480.0,0.83125,1.0
59150738,4.0,490.0,490.0,490.0,1.0,1.0
59150739,4.0,398.0,398.0,398.0,1.0,1.0
59150740,1.0,518.0,518.0,518.0,1.0,1.0
59150741,4.0,501.0,501.0,501.0,1.0,1.0
59150742,3.0,558.0,558.0,558.0,1.0,1.0
59150743,2.0,624.0,624.0,624.0,1.0,1.0
59150744,3.0,426.0,426.0,426.0,1.0,1.0
59150745,5.0,621.0,259.0,621.0,0.4170692431561997,1.0
59150746,4.0,468.0,400.0,468.0,0.8547008547008547,1.0
59150747,4.0,361.0,361.0,361.0,1.0,1.0
59150748,3.0,534.0,534.0,534.0,1.0,1.0
59150749,6.0,591.0,591.0,591.0,1.0,1.0
59150750,16.0,1128.0,1018.0,1018.0,0.9024822695035462,0.9024822695035462
59150751,18.0,708.0,708.0,708.0,1.0,1.0
59150752,3.0,319.0,319.0,319.0,1.0,1.0
59150753,2.0,261.0,261.0,261.0,1.0,1.0
59150754,3.0,497.0,497.0,497.0,1.0,1.0
59150755,1.0,844.0,0.0,844.0,0.0,1.0
59150756,2.0,215.0,215.0,215.0,1.0,1.0
59150757,6.0,1054.0,1054.0,1054.0,1.0,1.0
59150758,1.0,495.0,495.0,495.0,1.0,1.0
59150759,3.0,884.0,884.0,884.0,1.0,1.0
59150760,2.0,595.0,595.0,595.0,1.0,1.0
59150761,2.0,774.0,774.0,774.0,1.0,1.0
59150762,5.0,435.0,435.0,435.0,1.0,1.0
59150763,2.0,294.0,294.0,294.0,1.0,1.0
59150777,1.0,1193.0,1193.0,1193.0,1.0,1.0
59150779,1.0,1046.0,1046.0,1046.0,1.0,1.0
59150782,1.0,480.0,0.0,480.0,0.0,1.0
59150784,1.0,631.0,631.0,631.0,1.0,1.0
59150785,5.0,1905.0,1905.0,1905.0,1.0,1.0
59150786,1.0,1165.0,1165.0,1165.0,1.0,1.0
59150787,1.0,501.0,501.0,501.0,1.0,1.0
59150788,2.0,719.0,719.0,719.0,1.0,1.0
59150790,3.0,1205.0,1205.0,1205.0,1.0,1.0
59150791,2.0,610.0,610.0,610.0,1.0,1.0
59150792,2.0,964.0,964.0,964.0,1.0,1.0
59150793,1.0,914.0,914.0,914.0,1.0,1.0
59150795,2.0,853.0,853.0,853.0,1.0,1.0
59150816,1.0,357.0,357.0,357.0,1.0,1.0
59150817,1.0,433.0,433.0,433.0,1.0,1.0
59150819,1.0,469.0,469.0,469.0,1.0,1.0
59150820,1.0,532.0,532.0,532.0,1.0,1.0
59150821,1.0,470.0,470.0,470.0,1.0,1.0
59150822,1.0,408.0,408.0,408.0,1.0,1.0
59150823,1.0,441.0,441.0,441.0,1.0,1.0
59150824,1.0,449.0,449.0,449.0,1.0,1.0
59150827,2.0,513.0,513.0,513.0,1.0,1.0
59150828,3.0,663.0,663.0,663.0,1.0,1.0
59150831,2.0,627.0,627.0,627.0,1.0,1.0
59150832,3.0,722.0,722.0,722.0,1.0,1.0
59150837,1.0,422.0,422.0,422.0,1.0,1.0
59150840,1.0,419.0,419.0,419.0,1.0,1.0
59150841,1.0,430.0,430.0,430.0,1.0,1.0
59150845,2.0,651.0,651.0,651.0,1.0,1.0
59150846,4.0,799.0,799.0,799.0,1.0,1.0
59150850,7.0,2626.0,2626.0,2626.0,1.0,1.0
59150859,1.0,422.0,422.0,422.0,1.0,1.0
59150861,2.0,634.0,634.0,634.0,1.0,1.0
59150863,5.0,581.0,581.0,581.0,1.0,1.0
59150864,1.0,515.0,515.0,515.0,1.0,1.0
59150865,2.0,638.0,638.0,638.0,1.0,1.0
59150866,1.0,550.0,550.0,550.0,1.0,1.0
59150871,4.0,551.0,551.0,551.0,1.0,1.0
59150872,6.0,421.0,421.0,421.0,1.0,1.0
59150873,4.0,531.0,531.0,531.0,1.0,1.0
